orientation x, orientation y, orientation z, accel x, accel y, accel z
0.0745358, 0.46115866, 0.35132414, -59.08203, 63.964844, 960.9375
0.077002004, 0.46574542, 0.35036194, -38.085938, 67.87109, 959.96094
0.08437217, 0.4677776, 0.34919134, -67.87109, 67.38281, 955.5664
0.09624779, 0.46429795, 0.3510571, -61.035156, 54.19922, 974.6094
0.10490806, 0.4668071, 0.35023323, -55.17578, 59.08203, 969.2383
0.11784741, 0.46158677, 0.35004744, -60.546875, 61.523438, 983.8867
0.13171187, 0.45998487, 0.35140577, -59.08203, 50.78125, 989.2578
0.14469656, 0.46084467, 0.34664765, -60.546875, 49.316406, 977.0508
0.1604054, 0.45767772, 0.34653068, -63.964844, 59.08203, 990.2344
0.17412141, 0.45753375, 0.34151074, -50.78125, 50.29297, 995.1172
0.18970712, 0.45749635, 0.33787376, -52.734375, 64.453125, 993.16406
