time, rot x, rot y, rot z, accel x, accel y, accel z
8.241189439, 0.58778626, -1.3664122, -0.41221374, 14.160156, 37.597656, 1014.64844
8.242413084, -1.2748091, 1.389313, -0.58778626, 20.019531, 30.273438, 1010.7422
8.243683576, -0.8854962, 2.3740458, 0.33587787, 19.042969, 41.503906, 1020.01953
8.244858624999999, 2.740458, 1.519084, 1.5496184, 15.625, 48.828125, 1014.64844
8.246095452, -0.60305345, -0.20610687, 0.77862597, 16.601563, 53.710938, 1014.64844
8.247352005, 1.9160305, 1.5267175, 1.0610687, 11.230469, 55.664063, 1018.5547
8.248539884, 1.7328244, 0.32061067, 1.2366412, 19.53125, 33.691406, 1021.97266
8.24976463, -0.57251906, 1.7709924, -0.90839696, 21.972656, 41.992188, 1017.08984
8.2510159, 0.5954198, -0.9847328, 3, 14.6484375, 35.15625, 1017.5781
8.252287066, -0.36641222, 0.21374045, 2.8854961, 11.230469, 35.64453, 1023.9258
8.253510434, -0.48854962, 1.6870229, -1.1450381, 24.902344, 43.45703, 1013.1836
8.254736736, -0.90076333, -0.03816794, 0.35114503, 17.089844, 37.597656, 994.6289
8.255994913, 0.28244275, 1.5801526, -0.39694658, 15.136719, 50.29297, 1019.04297
8.257189757, -0.89312977, 1.1984733, -2.206107, 25.878906, 47.36328, 1007.3242
8.258418271, 0.17557251, -2.3206108, 1.389313, 18.554688, 35.64453, 1013.1836
8.259636559, -1.7328244, -0.9465649, 3.778626, 19.042969, 41.015625, 1004.39453
8.260891534, -1.5877863, 2.5648854, -0.3816794, 26.367188, 52.246094, 1019.04297
8.262085574, 1.9160305, 0.6946565, 0.9312977, 17.089844, 35.15625, 1023.4375
8.263317577, -1.2748091, 1.038168, 0.17557251, 15.625, 43.945313, 1002.4414
8.264538933, 0.48091602, 2.6335878, -1.2519084, 3.90625, 40.039063, 1016.1133
8.265786205, 1.740458, -1.8931298, 1.0305344, 8.300781, 40.527344, 1026.8555
8.266982565, -0.7557252, 1.1755725, 0.015267176, 26.367188, 35.15625, 1020.5078
8.268294996, -1.0763359, -0.48854962, 0.19847329, 13.671875, 36.621094, 1016.60156
8.269553059, 0.70229006, -0.20610687, -0.3129771, 20.019531, 33.203125, 998.53516
8.270739407, -2.3740458, 2.312977, 1.4351145, 24.414063, 44.921875, 1020.01953
8.271978008, -1.091603, -0.48091602, -2.480916, 15.625, 46.38672, 1013.6719
8.273183462, 1.480916, -0.610687, 0.29007635, 27.34375, 43.945313, 1007.3242
8.274437436, 0.06870229, 2.4503818, 1.4885496, 19.042969, 20.996094, 1010.7422
8.275641013, 0.20610687, -2.3587787, 2.0076337, 24.902344, 50.29297, 1018.0664
8.276868113, 0.38931298, -3.2442749, 4.7099237, 22.949219, 49.804688, 1016.60156
8.27812818, -1.0839695, 2.0992367, -1.038168, 12.6953125, 43.945313, 1004.39453
8.27932499, 1.1450381, -0.45038167, 2.442748, 21.484375, 36.132813, 1020.5078
8.280547606, -0.26717559, 2.8091602, 0.99236643, 20.996094, 53.710938, 1017.5781
8.281765186, -0.091603056, 0.6259542, 0.20610687, 21.484375, 37.109375, 1014.16016
8.283010484, 0.7633588, -1.7633588, 2.2900763, 24.414063, 38.085938, 1017.08984
8.284206561, 1.4732825, 0.41984734, 4.1755724, 10.7421875, 48.828125, 998.53516
8.285521421, -1.1984733, -1.610687, 2.1908398, 19.042969, 38.57422, 1012.6953
8.286740501, 1.4961832, -0.3129771, 1.167939, 15.136719, 53.710938, 1010.7422
8.287987555, 1.0458015, 0.4351145, 4.1984735, 20.507813, 33.691406, 1005.8594
8.289187076, -2.40458, -0.099236645, 0.67175573, 14.160156, 35.15625, 1011.23047
8.290444496, 0.57251906, 1.9541985, -0.90839696, 10.7421875, 50.78125, 1008.78906
8.291632296, 0.6946565, 1.3053435, 0.35877863, 11.71875, 46.38672, 1028.8086
8.292863765, -1.3129771, -0.70229006, -1.2900764, 20.996094, 40.527344, 1021.4844
8.294086876, 0.84732825, -2.2137403, 0.28244275, 19.53125, 42.48047, 1014.16016
8.29533814, -0.41984734, 3.2519083, 0.4274809, 12.207031, 43.945313, 1024.4141
8.296535106, 1.870229, -2.4351146, 3.038168, 2.4414063, 39.55078, 1020.01953
8.297763553, 0.8396947, -2.1908398, 1.1603054, 18.554688, 43.45703, 1009.7656
8.298983546, -0.58778626, 3.1450381, 0.015267176, 22.460938, 43.45703, 1009.27734
8.300303421, -0.52671754, 2.5038168, -0.86259544, 8.300781, 41.992188, 1015.1367
8.301497872, 2.29771, -2.8549619, 1.4351145, 23.925781, 42.96875, 1013.6719
8.302742559, -0.73282444, 2.6030533, -0.23664123, 18.554688, 41.503906, 1016.1133
8.303842061, -1.8778626, 4.0839696, -1.4351145, 17.089844, 45.410156, 1012.20703
8.305194105, 0.22900763, -2.923664, 2.8778627, 24.902344, 38.57422, 1006.34766
8.306415888, 0.35877863, 3.091603, -2.2519083, 25.390625, 35.64453, 1006.34766
8.307679684, 0.6793893, -0.96183205, 1.5877863, 16.113281, 41.015625, 1019.04297
8.308890805, 1.3358779, -3.0076337, 1.1984733, 23.4375, 39.55078, 1009.7656
8.310102615, -2.1603053, 0.47328246, -0.5496183, 24.414063, 41.503906, 1008.78906
8.31130721, 0.9541985, 0.10687023, 1.3206106, 26.367188, 44.921875, 1015.1367
8.312542884, -2.4732823, -0.23664123, -0.78625953, 12.207031, 32.226563, 1010.7422
8.31378698, -0.3053435, 0.38931298, -1.129771, 24.902344, 36.132813, 1007.8125
8.314979068, 4.221374, -0.03816794, 0.9236641, 20.019531, 44.921875, 1023.4375
8.316290568, 0.28244275, -0.66412216, 3.1908398, 21.484375, 41.503906, 1016.60156
8.317513492, -2.183206, 1.0610687, -1.8396946, 20.507813, 53.222656, 1010.7422
8.318784884, 1.9160305, 0.8854962, 0.259542, 20.996094, 40.527344, 1014.16016
8.319972071, 0.740458, -1.7328244, 1.7557251, 13.183594, 52.246094, 1008.3008
8.321187367, -1.7557251, 1.351145, -4.5343513, 23.4375, 30.761719, 1017.5781
